Sexo;Edad;Funciones;Periodo;Total
Ambos sexos;0 años;Tasa de mortalidad;2023;2,585634
Ambos sexos;1 año;Tasa de mortalidad;2023;0,210088
Ambos sexos;2 años;Tasa de mortalidad;2023;0,145896
Ambos sexos;3 años;Tasa de mortalidad;2023;0,109976
Ambos sexos;4 años;Tasa de mortalidad;2023;0,140489
Ambos sexos;5 años;Tasa de mortalidad;2023;0,085919
Ambos sexos;6 años;Tasa de mortalidad;2023;0,069528
Ambos sexos;7 años;Tasa de mortalidad;2023;0,053445
Ambos sexos;8 años;Tasa de mortalidad;2023;0,089241
Ambos sexos;9 años;Tasa de mortalidad;2023;0,073645
Ambos sexos;10 años;Tasa de mortalidad;2023;0,048662
Ambos sexos;11 años;Tasa de mortalidad;2023;0,073240
Ambos sexos;12 años;Tasa de mortalidad;2023;0,079492
Ambos sexos;13 años;Tasa de mortalidad;2023;0,064328
Ambos sexos;14 años;Tasa de mortalidad;2023;0,096503
Ambos sexos;15 años;Tasa de mortalidad;2023;0,092317
Ambos sexos;16 años;Tasa de mortalidad;2023;0,126733
Ambos sexos;17 años;Tasa de mortalidad;2023;0,149125
Ambos sexos;18 años;Tasa de mortalidad;2023;0,203146
Ambos sexos;19 años;Tasa de mortalidad;2023;0,242730
Ambos sexos;20 años;Tasa de mortalidad;2023;0,253783
Ambos sexos;21 años;Tasa de mortalidad;2023;0,260130
Ambos sexos;22 años;Tasa de mortalidad;2023;0,267051
Ambos sexos;23 años;Tasa de mortalidad;2023;0,258810
Ambos sexos;24 años;Tasa de mortalidad;2023;0,294256
Ambos sexos;25 años;Tasa de mortalidad;2023;0,312972
Ambos sexos;26 años;Tasa de mortalidad;2023;0,268531
Ambos sexos;27 años;Tasa de mortalidad;2023;0,302084
Ambos sexos;28 años;Tasa de mortalidad;2023;0,303568
Ambos sexos;29 años;Tasa de mortalidad;2023;0,316878
Ambos sexos;30 años;Tasa de mortalidad;2023;0,344335
Ambos sexos;31 años;Tasa de mortalidad;2023;0,361619
Ambos sexos;32 años;Tasa de mortalidad;2023;0,393982
Ambos sexos;33 años;Tasa de mortalidad;2023;0,435602
Ambos sexos;34 años;Tasa de mortalidad;2023;0,444341
Ambos sexos;35 años;Tasa de mortalidad;2023;0,479376
Ambos sexos;36 años;Tasa de mortalidad;2023;0,473178
Ambos sexos;37 años;Tasa de mortalidad;2023;0,569033
Ambos sexos;38 años;Tasa de mortalidad;2023;0,600298
Ambos sexos;39 años;Tasa de mortalidad;2023;0,582583
Ambos sexos;40 años;Tasa de mortalidad;2023;0,713751
Ambos sexos;41 años;Tasa de mortalidad;2023;0,768146
Ambos sexos;42 años;Tasa de mortalidad;2023;0,783061
Ambos sexos;43 años;Tasa de mortalidad;2023;0,897681
Ambos sexos;44 años;Tasa de mortalidad;2023;1,015874
Ambos sexos;45 años;Tasa de mortalidad;2023;1,047198
Ambos sexos;46 años;Tasa de mortalidad;2023;1,213457
Ambos sexos;47 años;Tasa de mortalidad;2023;1,288981
Ambos sexos;48 años;Tasa de mortalidad;2023;1,466474
Ambos sexos;49 años;Tasa de mortalidad;2023;1,640511
Ambos sexos;50 años;Tasa de mortalidad;2023;1,813761
Ambos sexos;51 años;Tasa de mortalidad;2023;2,112090
Ambos sexos;52 años;Tasa de mortalidad;2023;2,240259
Ambos sexos;53 años;Tasa de mortalidad;2023;2,615563
Ambos sexos;54 años;Tasa de mortalidad;2023;2,931031
Ambos sexos;55 años;Tasa de mortalidad;2023;3,337412
Ambos sexos;56 años;Tasa de mortalidad;2023;3,631134
Ambos sexos;57 años;Tasa de mortalidad;2023;4,063910
Ambos sexos;58 años;Tasa de mortalidad;2023;4,541928
Ambos sexos;59 años;Tasa de mortalidad;2023;4,837818
Ambos sexos;60 años;Tasa de mortalidad;2023;5,333416
Ambos sexos;61 años;Tasa de mortalidad;2023;5,865325
Ambos sexos;62 años;Tasa de mortalidad;2023;6,544540
Ambos sexos;63 años;Tasa de mortalidad;2023;7,080752
Ambos sexos;64 años;Tasa de mortalidad;2023;7,652874
Ambos sexos;65 años;Tasa de mortalidad;2023;8,310462
Ambos sexos;66 años;Tasa de mortalidad;2023;8,724696
Ambos sexos;67 años;Tasa de mortalidad;2023;10,063999
Ambos sexos;68 años;Tasa de mortalidad;2023;10,720720
Ambos sexos;69 años;Tasa de mortalidad;2023;11,707280
Ambos sexos;70 años;Tasa de mortalidad;2023;12,431936
Ambos sexos;71 años;Tasa de mortalidad;2023;13,436027
Ambos sexos;72 años;Tasa de mortalidad;2023;14,670730
Ambos sexos;73 años;Tasa de mortalidad;2023;16,042601
Ambos sexos;74 años;Tasa de mortalidad;2023;18,244126
Ambos sexos;75 años;Tasa de mortalidad;2023;20,331255
Ambos sexos;76 años;Tasa de mortalidad;2023;21,747239
Ambos sexos;77 años;Tasa de mortalidad;2023;25,024804
Ambos sexos;78 años;Tasa de mortalidad;2023;27,619737
Ambos sexos;79 años;Tasa de mortalidad;2023;31,381652
Ambos sexos;80 años;Tasa de mortalidad;2023;34,636959
Ambos sexos;81 años;Tasa de mortalidad;2023;37,871782
Ambos sexos;82 años;Tasa de mortalidad;2023;43,923361
Ambos sexos;83 años;Tasa de mortalidad;2023;51,921652
Ambos sexos;84 años;Tasa de mortalidad;2023;58,429032
Ambos sexos;85 años;Tasa de mortalidad;2023;67,816513
Ambos sexos;86 años;Tasa de mortalidad;2023;77,293659
Ambos sexos;87 años;Tasa de mortalidad;2023;86,197520
Ambos sexos;88 años;Tasa de mortalidad;2023;99,685392
Ambos sexos;89 años;Tasa de mortalidad;2023;115,319456
Ambos sexos;90 años;Tasa de mortalidad;2023;133,255963
Ambos sexos;91 años;Tasa de mortalidad;2023;148,973179
Ambos sexos;92 años;Tasa de mortalidad;2023;170,690053
Ambos sexos;93 años;Tasa de mortalidad;2023;188,184418
