X,Y
-11.226858,0.751650
0.448699,-0.075452
5.186239,-2.070074
1.068334,-1.815624
6.046207,-9.240460
20.391695,13.473954
-10.351764,3.629611
6.618311,-0.132868
-11.662948,-2.173796
2.406212,-4.243304
-3.587106,3.959359
9.266313,-7.498834
-6.021961,-8.554540
3.636452,-8.666975
-8.856006,10.793218
-15.113973,5.106185
3.043138,0.244200
12.133025,-3.110363
3.640939,6.452095
-7.015161,6.176014
1.878419,-12.969555
5.370223,0.188189
8.338904,-7.734949
-8.101876,-7.529398
4.873956,13.903118
2.459686,12.662129
-0.226906,2.952467
0.092271,-2.818233
-4.754750,7.880601
-4.343724,12.326924
9.318500,-0.036479
1.811870,-8.882627
-3.370387,11.593178
-17.442527,-10.960304
-6.135946,-16.092557
-3.538564,-2.632956
-8.981904,-8.627271
-9.312299,-4.510107
5.781948,0.025467
-1.730505,4.952652
-11.897943,5.544929
-9.346070,1.590303
-2.097472,-0.735282
7.803648,-2.116416
-10.544862,-5.211369
11.130785,-2.300695
-3.411276,-3.454418
-11.977715,13.933986
3.591632,-0.728458
10.059643,-1.153438
-1.552629,6.108985
4.541716,-1.004625
-2.225238,-3.840183
-0.076848,-7.068288
11.657916,5.712339
6.270505,-2.175893
-8.418208,4.783310
19.597390,-12.081432
-7.148374,0.548112
5.936749,3.460723
3.486578,-0.686798
-0.591091,13.649858
1.417453,-2.242914
-1.146640,-8.984711
5.859418,20.264223
-4.987078,5.625757
-8.219049,0.178768
3.326876,15.233278
12.161764,7.379884
-0.956506,-2.088366
11.923217,1.798020
-0.617528,-0.766127
10.900695,3.397397
6.743869,-0.764306
3.659083,6.181442
6.560053,-14.051050
-5.858365,4.607699
0.686477,-1.021752
-10.993874,-0.442782
-12.459145,-2.732824
6.431854,-1.904894
-1.043474,12.860319
7.039455,3.499633
0.917125,4.075177
-5.411330,6.356327
20.260152,6.847457
9.639549,-5.362739
1.200191,-4.569202
0.155696,2.672652
11.568801,3.920210
-2.253126,3.289599
10.671952,-0.795502
4.582237,5.995961
-9.252782,1.006472
5.202718,-8.560376
7.821665,2.438215
3.825216,-8.790665
6.748371,-3.896616
9.623451,6.991256
-3.438980,-2.680826
15.777478,2.753139
1.131299,5.294437
5.836452,-0.863188
-11.060766,6.298326
7.074097,3.730263
5.053075,4.492166
-4.085424,7.276772
4.779918,-6.244216
3.537560,-6.173581
7.010204,11.832763
5.010573,3.803674
-3.880552,-5.286784
0.384163,10.105497
-11.890528,-9.122538
0.150241,6.959391
-3.610015,-3.782212
7.481875,1.084912
9.398019,13.047214
4.489167,-1.593473
-12.963264,-4.555696
3.646732,4.237142
-7.734413,-5.043913
3.065036,10.303226
1.107862,11.686919
-7.633933,-3.342697
-9.238012,-5.915029
5.870560,-16.552119
14.838347,9.710606
-0.347007,-8.811082
2.279885,2.341962
-3.838264,1.259363
-1.892233,6.927487
-11.709638,-6.469110
0.579823,8.505529
1.331349,-6.087366
-2.157450,1.691498
0.749618,-13.580276
-2.498861,-8.624260
9.362688,4.044212
-0.533526,2.177154
1.843612,3.392743
6.726567,10.325685
1.331270,-3.211277
2.828519,-0.903499
-12.777563,0.695918
-1.742321,-9.674840
13.401483,4.571839
2.734259,0.025741
7.167587,6.805866
2.751699,4.572081
13.173494,9.940026
-5.237813,1.336607
-5.649211,3.299334
4.601629,3.163971
5.503829,1.012068
2.220955,-10.608794
2.072614,6.880000
-4.659551,-7.749274
7.247680,-5.150754
0.254818,-3.391880
3.489803,5.805616
-3.345933,16.464631
14.355201,-0.050544
-3.149625,12.529903
1.167184,-0.341967
-7.718706,7.187504
-5.683881,-5.851358
-0.319923,0.808144
-5.757876,-4.971163
0.881839,-6.246623
-5.877960,-9.876109
0.852693,8.029932
0.195649,5.008192
8.622579,1.296997
-3.533811,-2.387634
-7.700990,-0.744221
-5.614794,1.275669
-15.146342,-5.991766
-15.320106,-0.589969
7.042634,-6.205766
14.877809,5.587709
-2.680443,-7.152398
0.646929,3.604294
-3.164098,3.441586
6.662706,-3.557850
-1.212322,2.945871
-0.868815,5.550865
-1.073473,2.755001
-11.331186,0.062477
5.792438,-2.512107
-8.556294,3.621162
15.484119,-12.980040
9.429652,4.545922
1.326609,-3.195793
-19.110289,-1.069794
0.256520,-0.220698
5.171188,-8.035520
2.623019,-1.068183
-4.523925,-7.616562
14.123788,-9.684437
5.118321,-4.534286
-1.607529,9.360267
15.008784,19.583768
2.780021,-1.574218
1.116266,3.699960
2.713650,-7.931788
8.502697,-7.035817
2.191221,-0.288107
1.538448,8.098275
1.759410,-14.801760
13.294328,-7.615149
0.551043,3.994823
-9.463443,-3.702200
-5.395185,-2.694310
-3.434392,-2.606726
7.557054,8.927083
8.221856,1.974290
-2.341631,-2.621427
0.005257,10.279543
-2.062590,2.515250
-10.042700,7.302098
-7.707576,-11.281639
-9.179151,-9.906292
1.909935,12.830610
5.592278,-1.866275
-1.022948,-10.363814
-3.396749,0.420197
4.814431,4.200589
-6.521896,4.815287
-13.928878,3.067540
-0.515096,-0.677426
2.263837,0.495601
-7.592200,-8.934646
-10.037969,-7.576662
-4.908387,0.218160
-9.810140,2.723860
-2.160329,8.197451
-1.998224,-19.378007
0.980178,-15.571267
6.249103,1.716817
-0.205932,2.844446
3.895027,-0.333814
3.061229,2.429866
-11.349098,-0.271437
-1.712174,3.252410
-7.639846,-0.856844
-8.268988,-1.081792
0.400999,-7.654980
7.328912,-0.916836
4.345834,6.148726
3.006573,12.476475
9.896558,-1.122701
-0.409346,2.533891
-4.825114,1.332216
-3.242249,-11.493090
-3.861623,-1.407774
-13.461913,0.220541
8.457575,28.582109
-1.220069,-12.996699
-0.843240,-5.768346
-3.326118,-15.305539
0.169712,-2.605780
-4.044683,-2.530614
6.461064,0.119255
-11.399841,8.627910
4.673536,-2.160906
0.538532,-3.223062
7.987198,-11.655405
9.696525,-6.401853
9.533757,-0.668742
-0.024326,5.088742
-6.154266,-9.419445
10.142027,16.255661
-7.360471,3.625810
1.951116,-0.872881
-3.480604,-0.910219
1.249900,5.452173
13.542438,-2.432212
4.434672,-11.633563
2.545829,-6.920509
